"state_name","county_fips","county_name","val_acc_vacc","val_wearing_mask","votes_gop","votes_dem","total_votes","per_gop","per_dem","population","income"
"Iowa","19193","Woodbury County","70.2573582","91.6258096","25736","18704","45362","0.567347119","0.412327499","103107","58419"
"Mississippi","28047","Harrison County","66.9712059","84.8638037","46822","27728","75865","0.617175246","0.365491333","208080","49619"
"Montana","30063","Missoula County","71.6600839","93.4005362","26347","43357","71986","0.366001723","0.602297669","119600","57279"
"New Hampshire","33017","Strafford County","77.7386553","93.6346349","30489","41721","73729","0.41352792","0.565869604","130633","71486"
"New Jersey","34007","Camden County","73.020875","97.1085751","86207","175065","265599","0.32457577","0.659132753","506471","73168"
"New Jersey","34041","Warren County","67.3192802","91.9779007","34769","24901","61057","0.569451496","0.407832026","105267","83998"
"New York","36069","Ontario County","78.5085295","95.8581807","29039","29025","59674","0.486627342","0.486392734","109777","66754"
"New York","36085","Richmond County","71.5414579","96.3661195","123320","90997","216153","0.570521806","0.42098421","476143","86624"
"New York","36109","Tompkins County","86.0795727","97.6016939","11096","33619","45735","0.242615065","0.735082541","102180","59176"
"North Carolina","37035","Catawba County","66.5551585","90.5014005","56588","25689","83425","0.678309859","0.307929278","159551","53688"
"North Carolina","37063","Durham County","79.6519803","97.2529601","32459","144688","179914","0.180413976","0.804206454","321488","65541"
"North Carolina","37147","Pitt County","66.0694854","90.1587497","38982","47252","87573","0.4451372","0.539572699","180742","52961"
"Ohio","39151","Stark County","59.6333135","91.0520938","111097","75904","189879","0.585093665","0.399749314","370606","55623"
"Oklahoma","40145","Wagoner County","59.9950013","77.8508239","26165","8464","35338","0.740421076","0.239515536","81289","65191"
"South Carolina","45003","Aiken County","65.6744006","85.3398417","51589","32275","85185","0.605611317","0.378881258","170872","56824"
"Texas","48167","Galveston County","71.9873316","91.3031049","93911","58842","155060","0.605642977","0.379478911","342139","73214"
"Alabama","1081","Lee County","63.5527988","88.3840515","42221","27860","71449","0.590924995","0.38992848","164542","54160"
"California","6001","Alameda County","84.0107161","97.0755824","136309","617659","769864","0.177055948","0.80229625","1671329","107589"
"California","6053","Monterey County","78.070615","96.7571163","46299","113953","163883","0.282512524","0.695331425","434061","76509"
"California","6079","San Luis Obispo County","80.1609588","95.2107725","67436","88310","159681","0.422316995","0.553040124","283111","76599"
